,symbol,date,open,high,low,close,volume,adjusted
116,TSLA,6/20/2023,261.5,274.75,261.1199951,274.4500122,165611200,274.4500122
117,TSLA,6/21/2023,275.1300049,276.9899902,257.7799988,259.4599915,211797100,259.4599915
118,TSLA,6/22/2023,250.7700043,265,248.25,264.6099854,166875900,264.6099854
119,TSLA,6/23/2023,259.2900085,262.4500122,252.8000031,256.6000061,176584100,256.6000061
120,TSLA,6/26/2023,250.0700073,258.3699951,240.6999969,241.0500031,179990600,241.0500031
121,TSLA,6/27/2023,243.2400055,250.3899994,240.8500061,250.2100067,164968200,250.2100067
122,TSLA,6/28/2023,249.6999969,259.8800049,248.8899994,256.2399902,159770800,256.2399902
123,TSLA,6/29/2023,258.0299988,260.7399902,253.6100006,257.5,131283400,257.5
124,TSLA,6/30/2023,260.6000061,264.4500122,259.8900146,261.769989,112267600,261.769989
125,TSLA,7/3/2023,276.4899902,284.25,275.1099854,279.8200073,119685900,279.8200073
126,TSLA,7/5/2023,278.8200073,283.8500061,277.6000061,282.480011,131530900,282.480011
127,TSLA,7/6/2023,278.0899963,279.9700012,272.8800049,276.5400085,120332100,276.5400085
128,TSLA,7/7/2023,278.4299927,280.7799988,273.769989,274.4299927,113602000,274.4299927
129,TSLA,7/10/2023,276.4700012,277.519989,265.1000061,269.6099854,119425400,269.6099854
130,TSLA,7/11/2023,268.6499939,270.8999939,266.3699951,269.7900085,91972400,269.7900085
131,TSLA,7/12/2023,276.3299866,276.519989,271.4599915,271.9899902,95672100,271.9899902
132,TSLA,7/13/2023,274.5899963,279.4500122,270.6000061,277.8999939,112681500,277.8999939
133,TSLA,7/14/2023,277.0100098,285.2999878,276.3099976,281.3800049,119771100,281.3800049
134,TSLA,7/17/2023,286.6300049,292.230011,283.5700073,290.3800049,131569600,290.3800049
135,TSLA,7/18/2023,290.1499939,295.2600098,286.0100098,293.3399963,112434700,293.3399963
136,TSLA,7/19/2023,296.0400085,299.2900085,289.519989,291.2600098,142355400,291.2600098
137,TSLA,7/20/2023,279.5599976,280.9299927,261.2000122,262.8999939,175158300,262.8999939
138,TSLA,7/21/2023,268,268,255.8000031,260.019989,161050100,260.019989
139,TSLA,7/24/2023,255.8500061,269.8500061,254.1199951,269.0599976,136508500,269.0599976
140,TSLA,7/25/2023,272.3800049,272.8999939,265,265.2799988,112757300,265.2799988
141,TSLA,7/26/2023,263.25,268.0400085,261.75,264.3500061,95856200,264.3500061
142,TSLA,7/27/2023,268.3099976,269.1300049,255.3000031,255.7100067,103697300,255.7100067
143,TSLA,7/28/2023,259.8599854,267.25,258.230011,266.4400024,111446000,266.4400024
144,TSLA,7/31/2023,267.480011,269.0799866,263.7799988,267.4299927,84582200,267.4299927
145,TSLA,8/1/2023,266.2600098,266.4700012,260.25,261.0700073,83166000,261.0700073
146,TSLA,8/2/2023,255.5700073,259.519989,250.4900055,254.1100006,101752900,254.1100006
147,TSLA,8/3/2023,252.0399933,260.4899902,252,259.3200073,97569100,259.3200073
148,TSLA,8/4/2023,260.9700012,264.769989,253.1100006,253.8600006,99242600,253.8600006
149,TSLA,8/7/2023,251.4499969,253.6499939,242.7599945,251.4499969,111097900,251.4499969
150,TSLA,8/8/2023,247.4499969,250.9199982,245.0099945,249.6999969,96642200,249.6999969
151,TSLA,8/9/2023,250.8699951,251.1000061,241.8999939,242.1900024,101596300,242.1900024
152,TSLA,8/10/2023,245.3999939,251.8000031,243,245.3399963,109498600,245.3399963
153,TSLA,8/11/2023,241.7700043,243.7899933,238.0200043,242.6499939,98866600,242.6499939
